Sr Data Analyst/Data Scientist ||exp 4-7Yrs||,UnicornHead Online Ventures India Pvt. Ltd.  ,,,https://www.naukri.com/job-listings-sr-data-analyst-data-scientist-exp-4-7yrs-unicornhead-online-ventures-india-pvt-ltd-delhi-ncr-4-to-7-years-191022005620,4-7 Yrs,2 Days Ago,Not disclosed,Delhi / NCR,"['predictive modeling', 'machine learning', 'matlab', 'python', 'r', 'numpy', 'sql']"
Guidewire Data Analyst,Tech Mahindra,3.7,(21525 Reviews),https://www.naukri.com/job-listings-guidewire-data-analyst-tech-mahindra-ltd-hyderabad-secunderabad-chennai-bangalore-bengaluru-4-to-8-years-181022014733,4-8 Yrs,3 Days Ago,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","['Gap Analysis', 'SQL Queries', 'guidewire', 'Microsoft SQL', 'data analysis']"
Hiring For Data Analyst,Flipkart,4.2,(11295 Reviews),https://www.naukri.com/job-listings-hiring-for-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-2-to-6-years-141022012402,2-6 Yrs,7 Days Ago,"5,00,000 - 9,00,000 PA.",Hybrid - Bangalore/Bengaluru,"['VBA', 'Big Data', 'Data Extraction', 'Data warehouse', 'SQL', 'data analysis', 'data mining', 'Reporting']"
Associate - Data Analyst,Pfizer,4.2,(4924 Reviews),https://www.naukri.com/job-listings-associate-data-analyst-pfizer-limited-chennai-1-to-4-years-171022501887,1-4 Yrs,4 Days Ago,Not disclosed,Chennai,"['Supply chain management', 'Operational excellence', 'MS Access', 'Data management', 'Analytical', 'Data quality', 'MS Office', 'Continuous improvement']"
BI and Data Analyst- Night Shift,Oracle,3.9,(3937 Reviews),https://www.naukri.com/job-listings-bi-and-data-analyst-night-shift-oracle-india-pvt-ltd-hyderabad-secunderabad-bangalore-bengaluru-5-to-10-years-141022009147,5-10 Yrs,7 Days Ago,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Bangalore/Bengaluru","['Oracle BI', 'IT Skills', 'Python', 'Cloud', 'Product Management', 'Oracle', 'Big Data', 'Tableau']"
Immediate Opening - Data Analyst - Walk in - Registration Mandatory,Signals And Systems,4.2,(57 Reviews),https://www.naukri.com/job-listings-immediate-opening-data-analyst-walk-in-registration-mandatory-signals-systems-india-pvt-ltd-chennai-0-to-3-years-171022003545,,4 Days Ago,Not disclosed,Chennai,"['Pivot Table', 'Excel', 'VLOOKUP', 'Formulas', 'Data Analysis', 'Data Analytics']"
Associate Data Analyst / Data Analyst,Urjanet Energy Solutions,4.0,(77 Reviews),https://www.naukri.com/job-listings-associate-data-analyst-data-analyst-urjanet-energy-solutions-pvt-ltd-chennai-0-to-3-years-131022009465,0-3 Yrs,8 Days Ago,Not disclosed,Chennai,"['Communication Skills', 'Logical Approach', 'Excel', 'Analytical Skills', 'Data Analyst', 'data analysis', 'analytical', 'SQL queries']"
Technical Data Analyst,Datumlyze,,,https://www.naukri.com/job-listings-technical-data-analyst-datumlyze-pvt-ltd-chennai-0-to-2-years-040222005193,0-2 Yrs,15 Days Ago,"1,75,000 - 4,00,000 PA.",Temp. WFH - Chennai,"['Pivot Table', 'Excel', 'VLOOKUP', 'data analysis', 'Unix', 'MS Office', 'analytical', 'Linux']"
Intern – Computer Science/ Data Analyst,Pratham Edusys,,,https://www.naukri.com/job-listings-intern-computer-science-data-analyst-pratham-edusys-pvt-ltd-gurgaon-gurugram-0-to-1-years-111022500594,0-1 Yrs,10 Days Ago,Not disclosed,Gurgaon/Gurugram,"['Computer science', 'Electrical engineering', 'Data validation', 'Senior management', 'Analytical', 'Data collection', 'Internship', 'Recruitment']"
Senior Data Analyst,Thomson Reuters,4.3,(1321 Reviews),https://www.naukri.com/job-listings-senior-data-analyst-thomson-reuters-india-pvt-ltd-bangalore-bengaluru-4-to-9-years-121022501660,4-9 Yrs,9 Days Ago,Not disclosed,Bangalore/Bengaluru,"['data cleansing', 'Change management', 'Data validation', 'Data migration', 'SAP', 'Diversity and Inclusion', 'Taxation', 'JIRA']"
